org_id.value,Tipo de cliente,Total_Actividades_com,Total_Llamadas_com,Llamadas_Efectivas_com,Llamadas_No_Efectivas_com,WA_Seguimiento_com,Reuniones_Hechas,Reuniones_Canceladas,Tipo Primer Contacto,Rango de Contacto,New Categories,R1yR2,Total_Actividades_exp,Total_Llamadas_exp,Llamadas_Efectivas_exp,Llamadas_No_Efectivas_exp,WA_Seguimiento_exp,Kickoff_Hechas,Kickoff_Canceladas,Capacitaciones_Hechas,Capacitaciones_Canceladas,Tipo Primera Capacitación,Onboarding,(C) (EXP) Plazo y Pago,Churn Comercial
78936.0,B,9,4,4,0,4,1,0,Efectiva,Fuera del rango,0,0,2,0,0,0,0,1,1,0,0,No tuvo,No Finalizado,Anual,0
78999.0,B,26,4,1,3,19,2,1,No Efectiva,Dentro del rango,0,0,4,0,0,0,1,1,0,2,0,Hecha,No Finalizado,Anual,0
79029.0,B,25,18,5,13,6,1,0,Efectiva,Fuera del rango,0,0,17,8,2,6,8,0,0,0,1,Hecha,No Finalizado,Mensual,1
79056.0,B,21,12,5,7,7,1,1,No Efectiva,Fuera del rango,0,0,2,0,0,0,0,1,0,1,0,Hecha,No Finalizado,Anual,0
82560.0,A,5,0,0,0,4,1,0,No tuvo,Sin Llamada de primer contacto,0,0,8,1,1,0,0,0,0,7,0,Hecha,Finalizado,Anual,0
83979.0,B,6,1,1,0,3,2,0,Efectiva,Fuera del rango,0,1,13,7,3,4,4,1,0,0,1,Hecha,No Finalizado,Mensual,1
84813.0,C,6,4,3,1,1,1,0,Efectiva,Fuera del rango,0,0,2,0,0,0,0,1,0,0,1,Hecha,No Finalizado,Anual,0
88655.0,A,9,6,3,3,2,1,0,Efectiva,Fuera del rango,0,0,2,0,0,0,0,1,1,0,0,No tuvo,No Finalizado,Anual,0
89294.0,B,11,7,3,4,3,1,0,Efectiva,Fuera del rango,0,0,10,0,0,0,8,1,0,1,0,Hecha,No Finalizado,Anual,0
89313.0,B,11,3,3,0,7,1,0,Efectiva,Fuera del rango,0,0,10,3,3,0,2,1,0,0,4,Hecha,No Finalizado,Anual,0
93958.0,A,16,5,5,0,9,1,1,Efectiva,Fuera del rango,0,0,3,0,0,0,0,1,1,0,1,Hecha,No Finalizado,Anual,0
96590.0,B,5,2,2,0,3,0,0,Efectiva,Fuera del rango,0,0,6,3,1,2,2,1,0,0,0,No tuvo,No Finalizado,Mensual,0
103377.0,B,5,2,1,1,3,0,0,No Efectiva,Fuera del rango,0,0,1,0,0,0,1,0,0,0,0,No tuvo,No Finalizado,Anual,0
122385.0,B,33,19,14,5,11,2,1,Efectiva,Fuera del rango,0,0,2,0,0,0,0,1,0,0,1,Hecha,No Finalizado,Anual,0
137649.0,A,50,30,14,16,18,1,1,Efectiva,Fuera del rango,0,0,6,1,0,1,0,1,0,3,1,Hecha,No Finalizado,Anual,0
139223.0,B,17,9,7,2,6,2,0,Efectiva,Fuera del rango,0,0,7,0,0,0,0,0,1,5,1,Hecha,No Finalizado,Anual,0
140751.0,B,29,19,8,11,9,1,0,Efectiva,Fuera del rango,0,0,1,1,1,0,0,0,0,0,0,No tuvo,No Finalizado,Anual,0
143838.0,A,55,26,14,12,28,1,0,No Efectiva,Fuera del rango,0,0,5,0,0,0,4,0,0,1,0,Hecha,No Finalizado,Anual,0
160918.0,B,9,4,4,0,4,1,0,Efectiva,Fuera del rango,0,0,2,1,1,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
161380.0,B,10,4,4,0,5,1,0,Efectiva,Fuera del rango,0,0,2,0,0,0,0,2,0,0,0,No tuvo,No Finalizado,Anual,0
170923.0,B,22,16,8,8,4,1,1,Efectiva,Fuera del rango,0,0,2,0,0,0,1,1,0,0,0,No tuvo,No Finalizado,Anual,0
181294.0,B,12,3,3,0,7,2,0,No tuvo,Sin Llamada de primer contacto,0,0,1,0,0,0,0,0,0,0,1,Hecha,No Finalizado,Anual,0
181761.0,B,6,2,2,0,4,0,0,No tuvo,Sin Llamada de primer contacto,0,0,3,0,0,0,0,0,0,3,0,Hecha,No Finalizado,Anual,0
184756.0,B,9,3,2,1,4,2,0,Efectiva,Fuera del rango,0,1,8,1,1,0,4,0,0,3,0,Hecha,Finalizado,Anual,0
202815.0,B,14,7,5,2,6,1,0,Efectiva,Dentro del rango,0,0,5,0,0,0,0,1,0,3,1,Hecha,No Finalizado,Anual,0
203202.0,B,22,12,5,7,9,1,0,No Efectiva,Fuera del rango,0,0,2,0,0,0,1,1,0,0,0,No tuvo,No Finalizado,Anual,0
203448.0,B,7,5,4,1,1,1,0,Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Mensual,0
203591.0,C,10,5,5,0,4,1,0,Efectiva,Dentro del rango,0,0,12,1,0,1,8,0,2,1,0,Hecha,Finalizado,Anual,0
203596.0,B,5,1,0,1,4,0,0,No Efectiva,Fuera del rango,0,0,13,0,0,0,1,1,0,8,3,Hecha,No Finalizado,Anual,0
203629.0,C,6,2,2,0,3,1,0,No tuvo,Sin Llamada de primer contacto,0,0,4,1,1,0,0,1,1,0,1,Hecha,No Finalizado,Anual,0
203772.0,A,3,2,2,0,0,1,0,No tuvo,Sin Llamada de primer contacto,0,0,2,0,0,0,0,1,1,0,0,No tuvo,No Finalizado,Anual,0
203897.0,C,4,1,1,0,1,1,1,No tuvo,Sin Llamada de primer contacto,0,0,4,0,0,0,1,1,2,0,0,No tuvo,No Finalizado,Anual,0
203942.0,B,7,4,1,3,2,1,0,Efectiva,Fuera del rango,0,0,9,1,1,0,5,1,0,2,0,Hecha,Finalizado,Mensual,0
204094.0,A,4,1,1,0,2,1,0,Efectiva,Fuera del rango,0,0,2,0,0,0,0,1,0,1,0,Hecha,No Finalizado,Anual,0
204163.0,B,21,10,7,3,9,2,0,No Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
204267.0,B,14,10,5,5,4,0,0,Efectiva,Fuera del rango,0,0,3,0,0,0,0,1,0,2,0,Hecha,No Finalizado,Anual,0
204293.0,B,4,3,3,0,0,1,0,Efectiva,Fuera del rango,0,0,3,1,0,1,0,1,1,0,0,No tuvo,No Finalizado,Anual,0
204302.0,B,9,5,5,0,3,1,0,Efectiva,Fuera del rango,0,0,2,0,0,0,0,1,1,0,0,No tuvo,No Finalizado,Anual,0
204360.0,B,11,9,5,4,1,1,0,Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
204362.0,B,8,5,3,2,2,1,0,No Efectiva,Fuera del rango,0,0,5,2,0,2,1,1,1,0,0,No tuvo,No Finalizado,Anual,0
204546.0,B,5,4,4,0,0,1,0,Efectiva,Dentro del rango,0,0,3,0,0,0,0,1,1,1,0,Hecha,No Finalizado,Anual,0
204638.0,B,14,8,8,0,4,2,0,Efectiva,Fuera del rango,0,1,12,7,5,2,5,0,0,0,0,No tuvo,Finalizado,Anual,0
204920.0,B,5,2,2,0,2,1,0,Efectiva,Fuera del rango,0,0,2,0,0,0,0,1,0,1,0,Hecha,No Finalizado,Anual,0
204972.0,B,17,13,10,3,2,1,1,No Efectiva,Fuera del rango,0,0,3,0,0,0,2,1,0,0,0,No tuvo,No Finalizado,Anual,0
205088.0,B,5,3,3,0,0,2,0,Efectiva,Dentro del rango,0,0,5,0,0,0,0,1,0,4,0,Hecha,No Finalizado,Anual,0
205136.0,C,15,6,3,3,7,1,1,Efectiva,Fuera del rango,0,0,5,1,1,0,1,1,0,2,0,Hecha,No Finalizado,Anual,0
205193.0,C,6,2,2,0,4,0,0,Efectiva,Dentro del rango,0,0,1,0,0,0,0,0,1,0,0,No tuvo,No Finalizado,Anual,0
205388.0,B,17,5,2,3,10,1,1,Efectiva,Fuera del rango,0,0,10,3,1,2,6,1,0,0,0,No tuvo,No Finalizado,Anual,0
205507.0,B,5,3,2,1,2,0,0,No Efectiva,Fuera del rango,0,0,2,0,0,0,0,1,1,0,0,No tuvo,No Finalizado,Anual,0
205593.0,A,7,5,2,3,1,1,0,Efectiva,Fuera del rango,0,0,3,0,0,0,2,1,0,0,0,No tuvo,No Finalizado,Anual,0
205677.0,B,9,5,4,1,3,1,0,Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
205879.0,A,67,42,29,13,24,1,0,Efectiva,Fuera del rango,0,0,5,2,1,1,0,0,0,1,2,Hecha,No Finalizado,Anual,0
205891.0,B,15,8,6,2,6,1,0,Efectiva,Dentro del rango,0,0,2,1,0,1,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
205893.0,C,1,1,1,0,0,0,0,Efectiva,Fuera del rango,0,0,2,0,0,0,0,1,1,0,0,No tuvo,No Finalizado,Anual,0
205906.0,B,45,26,11,15,16,1,2,Efectiva,Fuera del rango,0,0,2,0,0,0,0,1,0,1,0,Hecha,No Finalizado,Anual,0
205975.0,B,6,5,4,1,0,1,0,Efectiva,Fuera del rango,0,0,3,2,0,2,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
205978.0,B,22,13,5,8,7,2,0,Efectiva,Dentro del rango,0,0,4,0,0,0,0,1,0,3,0,Hecha,No Finalizado,Anual,0
206022.0,B,19,14,12,2,4,1,0,Efectiva,Fuera del rango,0,0,9,3,0,3,3,1,0,1,1,Hecha,No Finalizado,Anual,0
206104.0,B,10,4,4,0,5,1,0,Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Mensual,1
206281.0,A,2,2,2,0,0,0,0,No tuvo,Sin Llamada de primer contacto,0,0,4,1,1,0,0,0,0,1,2,Hecha,No Finalizado,Anual,0
206347.0,B,19,9,5,4,8,1,1,No Efectiva,Fuera del rango,0,0,12,3,2,1,3,1,0,5,0,Hecha,No Finalizado,Anual,0
206539.0,B,10,7,6,1,2,1,0,No Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
206647.0,B,2,0,0,0,2,0,0,No tuvo,Sin Llamada de primer contacto,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
206716.0,A,12,7,3,4,4,1,0,Efectiva,Fuera del rango,0,0,11,4,0,4,5,1,0,1,0,Hecha,No Finalizado,Anual,0
206787.0,B,4,3,3,0,0,1,0,Efectiva,Fuera del rango,0,0,5,0,0,0,1,1,0,2,1,Hecha,No Finalizado,Anual,0
206819.0,B,2,1,1,0,1,0,0,No tuvo,Sin Llamada de primer contacto,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
